Average_Current,Max_Current,Min_Current,Median_Current,StDeviation_Current,Coffee Machine,Electric Kettle,Fridge
0.037437392,0.08,0.019182335,0.030927419,0.019208127,0,0,0
0.036482426,0.07,0.01839594,0.03,0.018437693,0,0,0
0.035406869,0.08,0.01,0.030685484,0.017835106,0,0,0
0.037846701,0.07,0.017172722,0.04,0.017378063,0,0,0
0.037723052,0.07,0,0.04,0.020288673,0,0,0
0.039193721,0.1,0,0.04,0.02178411,0,0,0
0.038938224,0.07,0.016176579,0.04,0.016542113,0,0,0
0.035171016,0.07,0,0.030725806,0.019481506,0,0,0
0.034808986,0.07,0.01,0.03,0.018304943,0,0,0
0.036567367,0.08,0,0.04,0.019851997,0,0,0
0.035533235,0.06,0,0.036220973,0.016692471,0,0,0
0.044965276,0.08,0.018478915,0.04567996,0.018813852,0,0,0
0.037242237,0.07,0.017617181,0.037630109,0.017754253,0,0,0
0.033914915,0.07,0.01,0.03,0.017014489,0,0,0
0.036737117,0.06,0.01,0.04,0.015778473,0,0,0
